Mach,250kt,260kt,270kt,280kt,290kt,300kt,310kt,320kt,330kt,340kt,350kt
0.7,322,304,287,270,254,237,221,205,190,174,159
0.71,329,311,294,277,261,245,229,213,197,182,167
0.72,336,318,301,284,268,252,236,220,205,190,175
0.73,342,325,308,291,275,259,243,227,212,197,182
0.74,349,331,315,298,282,266,250,235,219,204,190
0.75,355,338,321,305,289,273,257,242,227,212,197
0.76,361,344,328,311,295,279,264,249,234,219,204
0.77,368,351,334,318,302,286,271,255,241,226,211
0.78,374,357,340,324,308,293,277,262,247,233,218
0.79,380,363,347,330,315,299,284,269,254,239,225
0.8,386,369,353,337,321,305,290,275,261,246,232
0.81,392,375,359,343,327,312,297,282,267,253,238
0.8200000000000001,398,381,365,349,333,318,303,288,274,259,245
0.8300000000000001,404,387,370,355,339,324,309,294,280,266,252
0.8400000000000001,409,393,376,360,345,330,315,300,286,272,258
0.8500000000000001,415,398,382,366,351,336,321,307,292,278,264
0.8600000000000001,421,404,388,372,357,342,327,313,298,284,270
